id,movie,year,imdb,metascore,votes
2,Snatch,2000,8.3,,707162
9,Mission: Impossible II,2000,6.1,,286465
11,Gone in Sixty Seconds,2000,6.5,,243247
15,Pitch Black,2000,7.1,,212215
16,Scary Movie,2000,6.2,,212038
17,Final Destination,2000,6.7,,207634
18,"Me, Myself & Irene",2000,6.6,,207542
19,The Beach,2000,6.6,,205329
22,Remember the Titans,2000,7.8,,182238
23,How the Grinch Stole Christmas,2000,6.1,,181151
24,What Women Want,2000,6.4,,178459
26,Miss Congeniality,2000,6.2,,166121
28,Charlie's Angels,2000,5.5,,161175
33,Road Trip,2000,6.5,,146988
34,The Perfect Storm,2000,6.4,,145539
35,"Dude, Where's My Car?",2000,5.5,,127520
36,Hollow Man,2000,5.7,,113534
37,Scream 3,2000,5.6,,112795
40,The 6th Day,2000,5.9,,109478
41,What Lies Beneath,2000,6.6,,109084
42,Malcolm in the Middle,2000,8.0,,107426
43,Pay It Forward,2000,7.2,,106347
45,The Whole Nine Yards,2000,6.7,,101292
46,Coyote Ugly,2000,5.7,,99889
47,Men of Honor,2000,7.2,,99843
48,The Family Man,2000,6.8,,96276
52,Snatch,2000,8.3,,707162
59,Mission: Impossible II,2000,6.1,,286465
61,Gone in Sixty Seconds,2000,6.5,,243247
65,Pitch Black,2000,7.1,,212215
66,Scary Movie,2000,6.2,,212038
67,Final Destination,2000,6.7,,207634
68,"Me, Myself & Irene",2000,6.6,,207542
69,The Beach,2000,6.6,,205329
72,Remember the Titans,2000,7.8,,182238
73,How the Grinch Stole Christmas,2000,6.1,,181151
74,What Women Want,2000,6.4,,178459
76,Miss Congeniality,2000,6.2,,166121
78,Charlie's Angels,2000,5.5,,161175
83,Road Trip,2000,6.5,,146988
84,The Perfect Storm,2000,6.4,,145539
85,"Dude, Where's My Car?",2000,5.5,,127520
86,Hollow Man,2000,5.7,,113534
87,Scream 3,2000,5.6,,112795
90,The 6th Day,2000,5.9,,109478
91,What Lies Beneath,2000,6.6,,109084
92,Malcolm in the Middle,2000,8.0,,107426
93,Pay It Forward,2000,7.2,,106347
95,The Whole Nine Yards,2000,6.7,,101292
96,Coyote Ugly,2000,5.7,,99889
97,Men of Honor,2000,7.2,,99843
98,The Family Man,2000,6.8,,96276
111,The Fast and the Furious,2001,6.8,,315711
113,Band of Brothers,2001,9.5,,307747
114,Pearl Harbor,2001,6.1,,289730
116,The Mummy Returns,2001,6.4,,280619
118,Jurassic Park III,2001,5.9,,267323
121,Hannibal,2001,6.8,,234023
122,Vanilla Sky,2001,6.9,,231847
124,American Pie 2,2001,6.4,,222652
125,Blow,2001,7.6,,221332
126,Scrubs,2001,8.4,,221280
127,Enemy at the Gates,2001,7.6,,221269
129,Planet of the Apes,2001,5.7,,199776
130,Lara Croft: Tomb Raider,2001,5.8,,183180
131,Rush Hour 2,2001,6.6,,182975
132,Swordfish,2001,6.5,,167723
133,K-PAX,2001,7.4,,165883
134,24,2001,8.4,,161859
135,Legally Blonde,2001,6.3,,160767
136,A Knight's Tale,2001,6.9,,155359
137,Jay and Silent Bob Strike Back,2001,6.9,,139841
138,From Hell,2001,6.8,,138120
139,Scary Movie 2,2001,5.3,,136531
140,I Am Sam,2001,7.6,,134519
142,Shallow Hal,2001,5.9,,119923
143,The Princess Diaries,2001,6.3,,114233
145,Evolution,2001,6.1,,111506
146,Six Feet Under,2001,8.7,,108677
147,Smallville,2001,7.5,,107536
161,The Fast and the Furious,2001,6.8,,315711
163,Band of Brothers,2001,9.5,,307747
164,Pearl Harbor,2001,6.1,,289730
166,The Mummy Returns,2001,6.4,,280619
168,Jurassic Park III,2001,5.9,,267323
171,Hannibal,2001,6.8,,234023
172,Vanilla Sky,2001,6.9,,231847
174,American Pie 2,2001,6.4,,222652
175,Blow,2001,7.6,,221332
176,Scrubs,2001,8.4,,221280
177,Enemy at the Gates,2001,7.6,,221269
179,Planet of the Apes,2001,5.7,,199776
180,Lara Croft: Tomb Raider,2001,5.8,,183180
181,Rush Hour 2,2001,6.6,,182975
182,Swordfish,2001,6.5,,167723
183,K-PAX,2001,7.4,,165883
184,24,2001,8.4,,161859
185,Legally Blonde,2001,6.3,,160767
186,A Knight's Tale,2001,6.9,,155359
187,Jay and Silent Bob Strike Back,2001,6.9,,139841
188,From Hell,2001,6.8,,138120
189,Scary Movie 2,2001,5.3,,136531
190,I Am Sam,2001,7.6,,134519
192,Shallow Hal,2001,5.9,,119923
193,The Princess Diaries,2001,6.3,,114233
195,Evolution,2001,6.1,,111506
196,Six Feet Under,2001,8.7,,108677
197,Smallville,2001,7.5,,107536
205,Star Wars: Episode II - Attack of the Clones,2002,6.6,,564027
209,Ice Age,2002,7.5,,393174
212,Signs,2002,6.7,,311793
213,Men in Black II,2002,6.1,,307408
214,The Ring,2002,7.1,,293960
215,Equilibrium,2002,7.5,,293032
216,The Transporter,2002,6.8,,266475
218,The Wire,2002,9.3,,238822
220,Phone Booth,2002,7.1,,233986
221,Red Dragon,2002,7.2,,228930
222,Resident Evil,2002,6.7,,228901
225,Firefly,2002,9.0,,221919
227,Die Another Day,2002,6.1,,189413
228,A Walk to Remember,2002,7.4,,185951
229,Blade II,2002,6.7,,183686
231,xXx,2002,5.9,,164352
239,Mr. Deeds,2002,5.8,,125293
240,The Scorpion King,2002,5.5,,121008
243,Reign of Fire,2002,6.2,,118429
246,John Q,2002,7.1,,113875
248,The Time Machine,2002,5.9,,112119
255,Star Wars: Episode II - Attack of the Clones,2002,6.6,,564027
259,Ice Age,2002,7.5,,393174
262,Signs,2002,6.7,,311793
263,Men in Black II,2002,6.1,,307408
264,The Ring,2002,7.1,,293960
265,Equilibrium,2002,7.5,,293032
266,The Transporter,2002,6.8,,266475
268,The Wire,2002,9.3,,238822
270,Phone Booth,2002,7.1,,233986
271,Red Dragon,2002,7.2,,228930
272,Resident Evil,2002,6.7,,228901
275,Firefly,2002,9.0,,221919
277,Die Another Day,2002,6.1,,189413
278,A Walk to Remember,2002,7.4,,185951
279,Blade II,2002,6.7,,183686
281,xXx,2002,5.9,,164352
289,Mr. Deeds,2002,5.8,,125293
290,The Scorpion King,2002,5.5,,121008
293,Reign of Fire,2002,6.2,,118429
296,John Q,2002,7.1,,113875
298,The Time Machine,2002,5.9,,112119
307,The Matrix Revolutions,2003,6.7,,409505
308,Big Fish,2003,8.0,,386099
310,Love Actually,2003,7.6,,381736
312,The Last Samurai,2003,7.7,,365094
314,Bruce Almighty,2003,6.7,,341437
316,Arrested Development,2003,8.9,,250696
318,Underworld,2003,7.0,,236817
319,Hulk,2003,5.7,,236451
320,2 Fast 2 Furious,2003,5.9,,227224
321,Two and a Half Men,2003,7.1,,224350
324,Bad Boys II,2003,6.6,,203828
325,Old School,2003,7.1,,201911
326,Daredevil,2003,5.3,,195634
327,Anger Management,2003,6.2,,189552
329,How to Lose a Guy in 10 Days,2003,6.4,,187703
331,Avatar: The Last Airbender,2003,9.2,,183044
332,American Wedding,2003,6.3,,180508
333,The League of Extraordinary Gentlemen,2003,5.8,,155648
334,Once Upon a Time in Mexico,2003,6.4,,143833
335,Final Destination 2,2003,6.2,,138029
336,Johnny English,2003,6.2,,134078
338,S.W.A.T.,2003,6.0,,130264
341,Scary Movie 3,2003,5.5,,126402
342,Dogville,2003,8.0,,124349
343,The Recruit,2003,6.6,,123291
345,The Texas Chainsaw Massacre,2003,6.2,,121351
346,Lara Croft Tomb Raider: The Cradle of Life,2003,5.5,,120213
349,Charlie's Angels: Full Throttle,2003,4.9,,111449
357,The Matrix Revolutions,2003,6.7,,409505
358,Big Fish,2003,8.0,,386099
360,Love Actually,2003,7.6,,381736
362,The Last Samurai,2003,7.7,,365094
364,Bruce Almighty,2003,6.7,,341437
366,Arrested Development,2003,8.9,,250696
368,Underworld,2003,7.0,,236817
369,Hulk,2003,5.7,,236451
370,2 Fast 2 Furious,2003,5.9,,227224
371,Two and a Half Men,2003,7.1,,224350
374,Bad Boys II,2003,6.6,,203828
375,Old School,2003,7.1,,201911
376,Daredevil,2003,5.3,,195634
377,Anger Management,2003,6.2,,189552
379,How to Lose a Guy in 10 Days,2003,6.4,,187703
381,Avatar: The Last Airbender,2003,9.2,,183044
382,American Wedding,2003,6.3,,180508
